ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,North Central,4881251,Children severely stunted,13.9,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HA3,104236010,I,433005,1433010,Region,North Central,0,,0,1,CNNUTSCHA3,NGDHS2003433005,2003,DHS,757,850,,,1
NGA,North East,3150990,Children severely stunted,25.3,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HA3,104236010,I,433006,1433020,Region,North East,0,,0,1,CNNUTSCHA3,NGDHS2003433006,2003,DHS,1093,1104,,,1
NGA,North West,3495740,Children severely stunted,39.4,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HA3,104236010,I,433007,1433030,Region,North West,0,,0,1,CNNUTSCHA3,NGDHS2003433007,2003,DHS,1452,1185,,,1
NGA,South East,4046753,Children severely stunted,6.3,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HA3,104236010,I,433008,1433040,Region,South East,0,,0,1,CNNUTSCHA3,NGDHS2003433008,2003,DHS,326,438,,,1
NGA,South West,7555485,Children severely stunted,10.6,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HA3,104236010,I,433009,1433050,Region,South West,0,,0,1,CNNUTSCHA3,NGDHS2003433009,2003,DHS,507,565,,,1
NGA,South South,6945170,Children severely stunted,9.1,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HA3,104236010,I,433010,1433060,Region,South South,0,,0,1,CNNUTSCHA3,NGDHS2003433010,2003,DHS,635,460,,,1
NGA,North Central,4881250,Children stunted,35.1,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HA2,104236020,I,433005,1433010,Region,North Central,0,,0,1,CNNUTSCHA2,NGDHS2003433005,2003,DHS,757,850,,,1
NGA,North East,3150992,Children stunted,47.1,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HA2,104236020,I,433006,1433020,Region,North East,0,,0,1,CNNUTSCHA2,NGDHS2003433006,2003,DHS,1093,1104,,,1
NGA,North West,3495739,Children stunted,59.8,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HA2,104236020,I,433007,1433030,Region,North West,0,,0,1,CNNUTSCHA2,NGDHS2003433007,2003,DHS,1452,1185,,,1
NGA,South East,4046752,Children stunted,18.9,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HA2,104236020,I,433008,1433040,Region,South East,0,,0,1,CNNUTSCHA2,NGDHS2003433008,2003,DHS,326,438,,,1
NGA,South West,7555502,Children stunted,28.5,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HA2,104236020,I,433009,1433050,Region,South West,0,,0,1,CNNUTSCHA2,NGDHS2003433009,2003,DHS,507,565,,,1
