ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,Southeast - 1990,7859287,Infant mortality rate,83,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_IMR,63206030,I,433003,1433003,Region,Southeast - 1990,14003,Ten years preceding the survey,0,1,CMECMRCIMR,NGDHS1990433003,1990,DHS,,,68,98,1
NGA,Southwest - 1990,7576307,Infant mortality rate,85,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_IMR,63206030,I,433004,1433004,Region,Southwest - 1990,14003,Ten years preceding the survey,0,1,CMECMRCIMR,NGDHS1990433004,1990,DHS,,,69,100,1
NGA,Northeast - 1990,1823958,Under-five mortality rate,215,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_U5M,63206050,I,433001,1433001,Region,Northeast - 1990,14003,Ten years preceding the survey,0,1,CMECMRCU5M,NGDHS1990433001,1990,DHS,,,181,249,1
NGA,Northwest - 1990,7687312,Under-five mortality rate,245,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_U5M,63206050,I,433002,1433002,Region,Northwest - 1990,14003,Ten years preceding the survey,0,1,CMECMRCU5M,NGDHS1990433002,1990,DHS,,,176,313,1
NGA,Southeast - 1990,7490217,Under-five mortality rate,144,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_U5M,63206050,I,433003,1433003,Region,Southeast - 1990,14003,Ten years preceding the survey,0,1,CMECMRCU5M,NGDHS1990433003,1990,DHS,,,124,165,1
NGA,Southwest - 1990,7904338,Under-five mortality rate,167,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_U5M,63206050,I,433004,1433004,Region,Southwest - 1990,14003,Ten years preceding the survey,0,1,CMECMRCU5M,NGDHS1990433004,1990,DHS,,,139,196,1
NGA,Northeast - 1990,1340454,Place of delivery: Health facility,10.6,1,NG,Nigeria,1990,NG1990DHS,RH_DELP_C_DHF,83566070,I,433001,1433001,Region,Northeast - 1990,14000,Three years preceding the survey,0,0,RHDELPCDHF,NGDHS1990433001,1990,DHS,1229,1236,,,1
NGA,Northeast - 1990,7822884,Place of delivery: Health facility,10.5,1,NG,Nigeria,1990,NG1990DHS,RH_DELP_C_DHF,83566070,I,433001,1433001,Region,Northeast - 1990,14001,Five years preceding the survey,0,0,RHDELPCDHF,NGDHS1990433001,1990,DHS,1948,1957,,,1
NGA,Northeast - 1990,5316241,Place of delivery: Health facility,11.7,1,NG,Nigeria,1990,NG1990DHS,RH_DELP_C_DHF,83566070,I,433001,1433001,Region,Northeast - 1990,14002,Two years preceding the survey,0,1,RHDELPCDHF,NGDHS1990433001,1990,DHS,804,808,,,1
NGA,Northwest - 1990,5023481,Place of delivery: Health facility,10.5,1,NG,Nigeria,1990,NG1990DHS,RH_DELP_C_DHF,83566070,I,433002,1433002,Region,Northwest - 1990,14000,Three years preceding the survey,0,0,RHDELPCDHF,NGDHS1990433002,1990,DHS,1346,1151,,,1
